Bigram,English,Polish,German,French,Spanish
th,3.56,0.01,0.03,0.01,0.01
he,3.07,0.15,0.80,0.15,0.20
in,2.43,1.30,1.80,0.80,0.50
er,2.05,0.70,3.90,1.50,1.20
an,1.99,1.50,1.10,1.40,1.20
re,1.85,1.20,0.80,2.10,1.10
on,1.76,1.40,0.50,1.60,0.90
at,1.49,0.70,0.40,0.60,0.10
en,1.45,1.20,3.60,2.10,1.40
nd,1.35,0.50,1.80,0.20,0.40
ti,1.34,0.40,0.50,0.90,0.20
es,1.34,1.40,1.80,2.80,2.60
or,1.28,1.30,0.40,0.70,1.10
te,1.20,0.80,1.60,1.10,0.60
of,1.17,0.10,0.10,0.10,0.00
ed,1.17,0.30,0.30,0.30,0.40
is,1.13,1.10,1.40,1.60,0.70
it,1.12,0.60,0.90,0.80,0.40
al,0.88,0.70,0.40,0.90,1.20
ar,0.80,1.10,0.60,0.70,1.00
rz,0.00,1.90,0.05,0.00,0.00
cz,0.00,1.50,0.01,0.00,0.00
sz,0.00,1.20,0.02,0.00,0.00
ch,0.40,1.30,0.90,0.50,0.40
ie,0.20,2.10,1.10,0.80,0.30
ei,0.10,0.40,1.90,0.30,0.20
de,0.20,0.50,1.40,2.60,2.90
qu,0.20,0.01,0.02,0.70,0.90
ue,0.10,0.05,0.30,0.50,1.20
la,0.40,0.90,0.30,1.20,1.70
