Letter,EN,PL,DE,FR,ES,IT,PT
a,8.167,8.910,6.510,7.636,12.530,11.740,14.630
b,1.492,1.470,1.890,0.901,1.420,0.920,1.040
c,2.782,3.960,3.060,3.260,4.680,4.500,3.880
d,4.253,3.250,5.080,3.669,5.860,3.730,4.990
e,12.702,7.660,17.400,14.715,13.680,11.790,12.570
f,2.228,0.300,1.660,1.066,0.690,0.950,1.020
g,2.015,1.420,3.010,0.866,1.010,1.640,1.300
h,6.094,1.080,4.760,0.737,0.700,1.540,1.280
i,6.966,8.210,7.550,7.529,6.250,11.280,6.180
j,0.153,2.280,0.270,0.613,0.440,0.000,0.400
k,0.772,3.510,1.210,0.049,0.020,0.000,0.020
l,4.025,2.100,3.440,5.456,4.970,6.510,2.780
m,2.406,2.800,2.530,2.968,3.150,2.510,4.740
n,6.749,5.520,9.780,7.095,6.710,6.880,5.050
o,7.507,7.750,2.510,5.796,8.680,9.830,10.730
p,1.929,3.130,0.790,2.521,2.510,3.050,2.520
q,0.095,0.140,0.020,1.362,0.880,0.510,1.200
r,5.987,4.690,7.000,6.693,6.870,6.370,6.530
s,6.327,4.320,7.270,7.948,7.980,4.980,7.810
t,9.056,3.980,6.150,7.244,4.630,5.620,4.340
u,2.758,2.500,4.350,6.311,3.930,3.010,4.630
v,0.978,0.040,0.670,1.838,0.900,2.100,1.670
w,2.360,4.650,1.890,0.074,0.010,0.000,0.010
x,0.150,0.020,0.030,0.427,0.220,0.000,0.210
y,1.974,3.760,0.040,0.284,0.900,0.000,0.010
z,0.074,5.640,1.130,0.326,0.520,0.490,0.470
